200109241806      203956.      169994.      210678.      169313.
200109241807      877632.      760296.      860485.      742264.
200109241813      190560.      158441.      198786.      159607.
200109241814      877670.      767642.      859870.      749726.
200109241820      190853.      160349.      196275.      158848.
200109241821      917943.      792953.      920470.      791596.
200109241827      203470.      169907.      208927.      168414.
200109241828      996475.      852626.      976566.      833631.
200109241834      217016.      188089.      216306.      178626.
200109241835      960110.      846615.      939480.      825312.
200109241841      214615.      182099.      217393.      177256.
200109241842      973387.      840173.      959897.      826487.
200109241848      198921.      168330.      201719.      164173.
200109241849      910015.      800854.      894529.      785216.
200109241855      197995.      166643.      199162.      161612.
200109241856      939748.      821730.      935854.      815862.
200109241904      187944.      158904.      192512.      156931.
200109241905      976313.      854413.      971233.      845457.
200109241911      183487.      155226.      189006.      153932.
200109241912      971480.      844585.      956118.      829239.
200109241918      185117.      157531.      189473.      155028.
200109241919  1.04917e+06      917493.  1.03389e+06      899255.
200109241925      171348.      145358.      176163.      143920.
200109241926      950703.      827771.      943484.      818213.
200109241932      177776.      150848.      182216.      148938.
200109241933      940237.      821793.      931272.      809617.
200109241940      936793.      813370.      923302.      801014.
200109241946      183329.      154675.      188958.      153903.
200109241947      969755.      849095.      951857.      829340.
200109241953      186856.      158418.      190529.      155771.
200109241954      978394.      850608.      975767.      843077.
200109242000      184043.      156691.      185485.      151709.
200109242001      974742.      841994.      960490.      829387.
200109242017      948949.      832608.      939360.      823969.
200109242045      969057.      853796.      951354.      836673.
200110181205      131046.      119679.      134489.      117520.
200110181206  1.04262e+06      974350.  1.06366e+06      989367.
200110181212      134420.      123106.      137091.      119719.
200110181213  1.05104e+06      979813.  1.05298e+06      978488.
200110181219      135238.      124040.      139446.      122054.
200110181220  1.06120e+06      993160.  1.05731e+06      986492.
200110181226      132843.      121497.      137011.      119452.
200110181227  1.01171e+06      948647.  1.03274e+06      964311.
200110181234      134559.      123067.      139121.      121389.
200110181235  1.01456e+06      954118.  1.01005e+06      946132.
200110181241      134104.      123646.      138099.      121353.
200110181242  1.02925e+06      968351.  1.03050e+06      967184.
200110181248      135786.      126169.      139499.      123576.
200110181249  1.01805e+06      960622.  1.01487e+06      954483.
200110181255      133240.      123300.      138485.      121998.
200110181256  1.01853e+06      957824.  1.03816e+06      972205.
200110181302      139515.      128754.      145787.      127541.
200110181303  1.06533e+06  1.00166e+06  1.05424e+06      986677.
200110181309      140124.      129193.      147762.      129117.
200110181310  1.04053e+06      975705.  1.04894e+06      979720.
200110181316      143556.      132875.      150864.      132586.
200110181317  1.05638e+06      986940.  1.07116e+06      995031.
200110181323      142457.      132291.      149023.      131394.
200110181324  1.01484e+06      951172.  1.03580e+06      965955.
200110181330      141294.      131936.      148565.      131808.
200110181331  1.04703e+06      980500.  1.05886e+06      987196.
200110181337      147046.      137607.      150309.      133819.
200110181338  1.06412e+06      993775.  1.05967e+06      985580.
200110181345      162815.      152159.      159610.      142161.
200110181346  1.06280e+06      988148.  1.07512e+06      994841.
200110181352      171655.      161023.      164872.      147654.
200110181353  1.10179e+06  1.02284e+06  1.10028e+06  1.01733e+06
200110181359      159123.      148137.      156632.      139158.
200110181400  1.07067e+06      994711.  1.07724e+06      998111.
200110181733      124938.      115702.      120855.      105866.
200110181734      803486.      710807.      794945.      701057.
200110181740      129796.      119870.      126100.      110089.
200110181741      799399.      701083.      798261.      698137.
200110181747      132416.      122548.      131872.      115122.
200110181748      798610.      724733.      798104.      721309.
200110181754      130911.      121329.      129127.      113060.
200110181755      779471.      698286.      776889.      693848.
200110181801      129120.      119567.      125856.      110140.
200110181802      796696.      711656.      789053.      701029.
200110181808      133393.      123882.      129486.      113858.
200110181809      800394.      709864.      805382.      711442.
200110181815      128911.      118944.      125762.      109950.
200110181816      801878.      704741.      810596.      711830.
200110181822      129268.      119220.      125940.      109954.
200110181823      813284.      717759.      813957.      714756.
200110181829      129575.      119249.      128134.      111891.
200110181830      796959.      715139.      808659.      724703.
200110181836      129872.      120445.      127446.      112062.
200110181837      796020.      704834.      791119.      698714.
200110181845      128180.      118170.      127342.      111346.
200110181846      806625.      723528.      804336.      717427.
200110181852      127624.      117740.      126321.      110623.
200110181853      805864.      718529.      802047.      711985.
200110181859      128165.      118167.      128148.      111900.
200110181900      811220.      718962.      811722.      714990.
200110181906      185937.      154820.      217447.      167756.
200110181907      844124.      730322.      863028.      737017.
200110181913      154644.      134711.      169565.      137299.
200110181914      812244.      728692.      829564.      738907.
200110181920      137396.      123095.      143290.      120378.
200110181921      785668.      694272.      791585.      695305.
200110181927      136439.      123689.      138688.      118465.
200110181928      803110.      707196.      806340.      705582.
200110181934      136265.      126152.      136654.      119291.
200110181935      807788.      723979.      802065.      713603.
200110181941      141229.      132090.      140398.      124245.
200110181942      798637.      710283.      797167.      705415.
200110181948      139387.      130636.      138425.      122755.
200110181949      814049.      732279.      807570.      723829.
200110181957      141331.      133916.      139226.      125175.
200110181958      838536.      745524.      834549.      738528.
200110182004      146324.      139465.      144358.      130577.
200110182005      839471.      745610.      832978.      735654.
200110182011      146561.      139313.      144890.      130936.
200110182012      834988.      744909.      833615.      739182.
200110182018      151689.      141804.      152312.      134702.
200110182019      879076.      784811.      879996.      783082.
200110182025      146015.      137405.      146166.      130207.
200110182026      885418.      785741.      883312.      780781.
200110182032      141016.      131104.      142414.      125564.
200110182033      876812.      765245.      890617.      777508.
200110182039      137744.      126969.      139465.      121826.
200110182040      883288.      768760.      874225.      755400.
200110182046      135025.      125131.      136521.      119889.
200110182047      870763.      773825.      863878.      764961.
200110182053      137481.      127240.      140159.      123079.
200110182054      888102.      780544.      875377.      766000.
200110182100      134584.      124423.      135028.      118253.
200110182101      894516.      784314.      889891.      778326.
200110182109      133333.      123398.      133440.      117032.
200110182110      897008.      784876.      886367.      772154.
200110182116      140564.      129784.      139904.      122594.
200110182117      908921.      797375.      907784.      791983.
200110182123      143614.      132419.      141311.      123738.
200110182124      930663.      811070.      929062.      805144.
200110182130      136917.      127086.      134842.      118880.
200110182131      904975.      789162.      892751.      775030.
200110182137      133310.      123353.      131288.      115281.
200110182138      888728.      779329.      894966.      781737.
200110182144      137202.      127723.      133221.      117704.
200110182145      920863.      798907.      914033.      790756.
200110182151      142847.      134820.      138763.      124330.
200110182152      937573.      823976.      930568.      816485.
200110182158      136941.      127893.      134955.      119776.
200110182159      935749.      816938.      927268.      805351.
200110182205      134983.      125932.      132409.      117208.
200110182206      940633.      823429.      926316.      807383.
200110182212      137264.      127466.      133678.      117755.
200110182213      943214.      817146.      938506.      810534.
200110182221      135096.      124939.      132825.      116631.
200110182222      929387.      808993.      917238.      795130.
200110182228      136615.      126514.      135005.      118332.
200110182229      920196.      801877.      911170.      790006.
